BJD_Code,year,day,type,acid,phosphate,silicate,OM,Mg,K,Ca,EC,jibun
5013032024,2020,20200605,2,6.3,10,NA,150,2.1,0.49,3.9,0.32,제주특별자치도 서귀포시 표선면 가시리 3138-1
5013032024,2020,20200605,2,6.4,10,NA,196,0.1,0.07,0.5,0.11,제주특별자치도 서귀포시 표선면 가시리 3151
5013032024,2020,20200605,2,6.3,10,NA,204,0.1,0.07,0.4,0.11,제주특별자치도 서귀포시 표선면 가시리 3179-2
5013032024,2020,20200605,2,6.2,10,NA,139,1.4,0.5,4,0.31,제주특별자치도 서귀포시 표선면 가시리 3206
5013032024,2020,20200605,2,6.3,10,NA,134,1.4,0.52,4.1,0.32,제주특별자치도 서귀포시 표선면 가시리 3453
5013032024,2020,20200605,2,6.5,10,NA,174,0.1,0.06,0.5,0.11,제주특별자치도 서귀포시 표선면 가시리 3504
5013032024,2020,20200605,2,6.3,10,NA,127,1.5,0.46,3.9,0.31,제주특별자치도 서귀포시 표선면 가시리 3506
5013032024,2020,20200605,2,6.3,10,NA,126,1.7,0.5,4,0.32,제주특별자치도 서귀포시 표선면 가시리 359
5013032024,2020,20200605,2,6.3,10,NA,207,0.1,0.13,0.5,0.14,제주특별자치도 서귀포시 표선면 가시리 3644
5013032024,2020,20200605,2,6,10,NA,168,0.9,0.36,2.3,0.23,제주특별자치도 서귀포시 표선면 가시리 3645
5013032024,2020,20200605,2,6,10,NA,165,1.1,0.4,2.7,0.27,제주특별자치도 서귀포시 표선면 가시리 3646
5013032024,2020,20200605,2,6.2,10,NA,189,0.1,0.08,0.4,0.13,제주특별자치도 서귀포시 표선면 가시리 3652-1
5013032024,2020,20200605,2,5.9,10,NA,225,0.2,0.12,0.7,0.26,제주특별자치도 서귀포시 표선면 가시리 3680
5013032024,2020,20200605,2,6.2,10,NA,147,2,0.51,4.4,0.37,제주특별자치도 서귀포시 표선면 가시리 52
5013032024,2020,20200605,2,6.4,10,NA,142,1.8,0.53,4.2,0.27,제주특별자치도 서귀포시 표선면 가시리 54
5013032024,2020,20200605,2,6.4,10,NA,150,2.1,0.54,4.4,0.32,제주특별자치도 서귀포시 표선면 가시리 60
5013032024,2020,20200605,2,6,10,NA,213,0.3,0.12,0.7,0.25,제주특별자치도 서귀포시 표선면 가시리 645
5013032024,2020,20200605,2,5.8,10,NA,244,0.5,0.11,0.8,0.33,제주특별자치도 서귀포시 표선면 가시리 655
5013032024,2020,20200605,2,6,10,NA,231,0.6,0.09,0.9,0.31,제주특별자치도 서귀포시 표선면 가시리 656
5013032024,2020,20200605,2,5.8,10,NA,243,0.5,0.09,0.8,0.31,제주특별자치도 서귀포시 표선면 가시리 659
5013032024,2020,20200605,2,5.7,10,NA,223,0.5,0.08,0.8,0.3,제주특별자치도 서귀포시 표선면 가시리 667
5013032024,2020,20200605,2,5.8,10,NA,235,0.5,0.09,0.9,0.33,제주특별자치도 서귀포시 표선면 가시리 668
5013032024,2020,20200605,2,5.8,10,NA,229,0.1,0.09,0.8,0.02,제주특별자치도 서귀포시 표선면 가시리 669
5013032024,2020,20200605,2,5.9,10,NA,188,0.1,0.13,0.2,0.15,제주특별자치도 서귀포시 표선면 가시리 670
5013032024,2020,20200605,2,5.8,10,NA,225,0.2,0.08,0.9,0.32,제주특별자치도 서귀포시 표선면 가시리 671
5013032024,2020,20200605,2,6.2,10,NA,150,1.8,0.53,4.5,0.28,제주특별자치도 서귀포시 표선면 가시리 672
5013032024,2020,20200605,2,5.9,10,NA,198,0.6,0.28,2.4,0.34,제주특별자치도 서귀포시 표선면 가시리 68
5013032024,2020,20200605,2,6.3,10,NA,169,0.1,0.06,0.4,0.11,제주특별자치도 서귀포시 표선면 가시리 852
5013032024,2020,20200605,2,6.2,10,NA,150,2,0.53,4.3,0.43,제주특별자치도 서귀포시 표선면 가시리 127
5013032024,2020,20200605,2,6.3,10,NA,149,2,0.49,4.4,0.33,제주특별자치도 서귀포시 표선면 가시리 128
5013032024,2020,20200605,2,6.3,10,NA,142,1.6,0.52,4.5,0.31,제주특별자치도 서귀포시 표선면 가시리 131
5013032024,2020,20200618,2,6.6,10,NA,208,0.3,0.08,0.7,0.15,제주특별자치도 서귀포시 표선면 가시리 3665-11
5013032024,2020,20200618,2,6.3,10,NA,204,0.2,0.05,0.4,0.16,제주특별자치도 서귀포시 표선면 가시리 3665-12
5013032024,2020,20200618,2,6.4,10,NA,205,0.2,0.05,0.4,0.14,제주특별자치도 서귀포시 표선면 가시리 3665-13
5013032024,2020,20200618,2,6.2,10,NA,203,0.2,0.06,0.5,0.15,제주특별자치도 서귀포시 표선면 가시리 3665-14
5013032024,2020,20200618,2,6.1,10,NA,254,0.6,0.11,1,0.41,제주특별자치도 서귀포시 표선면 가시리 3665-24
