"BJD_Code","sido","sigungu","addr_1","addr_2","dong","li"
5011025634,"제주특별자치도","제주시_구좌읍","제주_구좌","제주특별자치도_제주시_구좌읍_김녕리","구좌읍","김녕리"
5011025921,"제주특별자치도","제주시_조천읍","제주_조천","제주특별자치도_제주시_조천읍_신촌리","조천읍","신촌리"
5011025922,"제주특별자치도","제주시_조천읍","제주_조천","제주특별자치도_제주시_조천읍_와흘리","조천읍","와흘리"
5011025923,"제주특별자치도","제주시_조천읍","제주_조천","제주특별자치도_제주시_조천읍_조천리","조천읍","조천리"
5011025924,"제주특별자치도","제주시_조천읍","제주_조천","제주특별자치도_제주시_조천읍_함덕리","조천읍","함덕리"
5011025925,"제주특별자치도","제주시_조천읍","제주_조천","제주특별자치도_제주시_조천읍_신흥리","조천읍","신흥리"
5011025926,"제주특별자치도","제주시_조천읍","제주_조천","제주특별자치도_제주시_조천읍_대흘리","조천읍","대흘리"
5011025927,"제주특별자치도","제주시_조천읍","제주_조천","제주특별자치도_제주시_조천읍_북촌리","조천읍","북촌리"
5011025928,"제주특별자치도","제주시_조천읍","제주_조천","제주특별자치도_제주시_조천읍_와산리","조천읍","와산리"
5011025929,"제주특별자치도","제주시_조천읍","제주_조천","제주특별자치도_제주시_조천읍_교래리","조천읍","교래리"
5011025930,"제주특별자치도","제주시_조천읍","제주_조천","제주특별자치도_제주시_조천읍_선흘리","조천읍","선흘리"
5011031021,"제주특별자치도","제주시_한경면","제주_한경","제주특별자치도_제주시_한경면_청수리","한경면","청수리"
5011031022,"제주특별자치도","제주시_한경면","제주_한경","제주특별자치도_제주시_한경면_용수리","한경면","용수리"
5011031023,"제주특별자치도","제주시_한경면","제주_한경","제주특별자치도_제주시_한경면_고산리","한경면","고산리"
5011031024,"제주특별자치도","제주시_한경면","제주_한경","제주특별자치도_제주시_한경면_판포리","한경면","판포리"
5011031025,"제주특별자치도","제주시_한경면","제주_한경","제주특별자치도_제주시_한경면_금등리","한경면","금등리"
5011031026,"제주특별자치도","제주시_한경면","제주_한경","제주특별자치도_제주시_한경면_조수리","한경면","조수리"
5011031027,"제주특별자치도","제주시_한경면","제주_한경","제주특별자치도_제주시_한경면_두모리","한경면","두모리"
5011031028,"제주특별자치도","제주시_한경면","제주_한경","제주특별자치도_제주시_한경면_신창리","한경면","신창리"
5011031029,"제주특별자치도","제주시_한경면","제주_한경","제주특별자치도_제주시_한경면_낙천리","한경면","낙천리"
5011031030,"제주특별자치도","제주시_한경면","제주_한경","제주특별자치도_제주시_한경면_저지리","한경면","저지리"
5011031031,"제주특별자치도","제주시_한경면","제주_한경","제주특별자치도_제주시_한경면_산양리","한경면","산양리"
5011031032,"제주특별자치도","제주시_한경면","제주_한경","제주특별자치도_제주시_한경면_한원리","한경면","한원리"
5011031033,"제주특별자치도","제주시_한경면","제주_한경","제주특별자치도_제주시_한경면_용당리","한경면","용당리"
5011032021,"제주특별자치도","제주시_추자면","제주_추자","제주특별자치도_제주시_추자면_대서리","추자면","대서리"
5011032022,"제주특별자치도","제주시_추자면","제주_추자","제주특별자치도_제주시_추자면_영흥리","추자면","영흥리"
5011032023,"제주특별자치도","제주시_추자면","제주_추자","제주특별자치도_제주시_추자면_묵리","추자면","묵리"
5011032024,"제주특별자치도","제주시_추자면","제주_추자","제주특별자치도_제주시_추자면_예초리","추자면","예초리"
5011032025,"제주특별자치도","제주시_추자면","제주_추자","제주특별자치도_제주시_추자면_신양리","추자면","신양리"
5011033021,"제주특별자치도","제주시_우도면","제주_우도","제주특별자치도_제주시_우도면_연평리","우도면","연평리"
5011033022,"제주특별자치도","제주시_우도면","제주_우도","제주특별자치도_제주시_우도면_서광리","우도면","서광리"
5011033023,"제주특별자치도","제주시_우도면","제주_우도","제주특별자치도_제주시_우도면_천진리","우도면","천진리"
5011033024,"제주특별자치도","제주시_우도면","제주_우도","제주특별자치도_제주시_우도면_조일리","우도면","조일리"
5011033025,"제주특별자치도","제주시_우도면","제주_우도","제주특별자치도_제주시_우도면_오봉리","우도면","오봉리"
5013025021,"제주특별자치도","서귀포시_대정읍","서귀포_대정","제주특별자치도_서귀포시_대정읍_상모리","대정읍","상모리"
5013025022,"제주특별자치도","서귀포시_대정읍","서귀포_대정","제주특별자치도_서귀포시_대정읍_하모리","대정읍","하모리"
