"","code","year","month","day","type","acid","phosphate","OM","Mg","K","Ca","EC","jibun","sido","sigungu","addr_1","addr_2","dong","li","ymd","ym","cnt"
"1257","5011025025","2020","08","28","4",6.3,239,47,1.1,1.57,4.6,0.2,"제주특별자치도 제주시 한림읍 금악리 3043-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2020-08-28,2020-01-01,1
"1355","5011025025","2021","04","22","4",5.8,11,82,0.4,0.21,2.5,0.4,"제주특별자치도 제주시 한림읍 금악리 683","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2021-04-22,2021-01-01,1
"1356","5011025025","2021","06","04","4",5.4,454,69,0.7,0.38,3.2,0.5,"제주특별자치도 제주시 한림읍 금악리 2898","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2021-06-04,2021-01-01,1
"1357","5011025025","2021","06","21","4",6.3,207,81,2.6,1.22,10.3,0.3,"제주특별자치도 제주시 한림읍 금악리 2470","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2021-06-21,2021-01-01,1
"1358","5011025025","2021","08","31","4",5.5,392,45,2.8,1.54,2.7,1.06,"제주특별자치도 제주시 한림읍 금악리 3043-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2021-08-31,2021-01-01,1
"1814","5011025025","2021","03","08","4",5.8,573,91,3,1.67,6,0.2,"제주특별자치도 제주시 한림읍 금악리 2301-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2021-03-08,2021-01-01,1
"1815","5011025025","2021","04","07","4",6.5,285,94,1.4,0.7,7.4,0.5,"제주특별자치도 제주시 한림읍 금악리 2463-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2021-04-07,2021-01-01,1
"1816","5011025025","2021","04","07","4",6.5,377,97,1.9,0.82,9.2,0.6,"제주특별자치도 제주시 한림읍 금악리 2463-2","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2021-04-07,2021-01-01,1
"1817","5011025025","2021","04","23","4",5.6,57,99,0.5,0.21,3.3,0.1,"제주특별자치도 제주시 한림읍 금악리 1882-3","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2021-04-23,2021-01-01,1
"1818","5011025025","2021","04","23","4",5.4,389,92,0.6,0.2,4.6,0.2,"제주특별자치도 제주시 한림읍 금악리 1882-7","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2021-04-23,2021-01-01,1
"1819","5011025025","2021","04","23","4",5.6,943,72,0.7,0.46,5.3,0.2,"제주특별자치도 제주시 한림읍 금악리 1886-4","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2021-04-23,2021-01-01,1
"1820","5011025025","2021","05","07","4",6.8,246,87,4.1,1.08,10.5,0.4,"제주특별자치도 제주시 한림읍 금악리 1043-5","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2021-05-07,2021-01-01,1
"2369","5011025025","2022","06","30","4",6.2,344,260,4.5,1.66,19.7,1.5,"제주특별자치도 제주시 한림읍 금악리 1882-3","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2022-06-30,2022-01-01,1
"2370","5011025025","2022","06","30","4",5.7,177,135,2.7,1.36,10.9,1.05,"제주특별자치도 제주시 한림읍 금악리 1882-7","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2022-06-30,2022-01-01,1
"2371","5011025025","2022","06","30","4",6,372,143,3,1.18,12.5,1.03,"제주특별자치도 제주시 한림읍 금악리 1886-4","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2022-06-30,2022-01-01,1
"2388","5011025025","2022","03","29","4",6,69,108,2,1.24,7.5,1.74,"제주특별자치도 제주시 한림읍 금악리 2189","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2022-03-29,2022-01-01,1
"2389","5011025025","2022","03","29","4",5.9,64,102,1.9,1.2,7.1,1.71,"제주특별자치도 제주시 한림읍 금악리 2820","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2022-03-29,2022-01-01,1
"2390","5011025025","2022","03","29","4",6,58,108,2.1,1.19,8.3,1.65,"제주특별자치도 제주시 한림읍 금악리 2820-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2022-03-29,2022-01-01,1
"2391","5011025025","2022","03","29","4",6,58,110,2.1,1.14,7.9,1.64,"제주특별자치도 제주시 한림읍 금악리 2820-2","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2022-03-29,2022-01-01,1
"2392","5011025025","2022","03","29","4",5.6,231,81,1.8,0.33,4.7,1.32,"제주특별자치도 제주시 한림읍 금악리 2870","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2022-03-29,2022-01-01,1
"2393","5011025025","2022","03","29","4",6,62,104,1.9,1.22,7.3,1.23,"제주특별자치도 제주시 한림읍 금악리 2871-9","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2022-03-29,2022-01-01,1
"2394","5011025025","2022","05","12","4",6.3,270,57,2.9,0.95,7.1,1.3,"제주특별자치도 제주시 한림읍 금악리 1043-5","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2022-05-12,2022-01-01,1
"2395","5011025025","2022","05","31","4",5.1,210,60,1,0.56,2.7,0.59,"제주특별자치도 제주시 한림읍 금악리 2898","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2022-05-31,2022-01-01,1
"2396","5011025025","2022","06","16","4",6.8,1219,84,9,2.09,11.8,1.08,"제주특별자치도 제주시 한림읍 금악리 2470","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2022-06-16,2022-01-01,1
"2397","5011025025","2022","08","11","4",7.6,425,46,4.8,1.75,6.9,0.69,"제주특별자치도 제주시 한림읍 금악리 3043-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2022-08-11,2022-01-01,1
"2398","5011025025","2022","11","22","4",5.5,67,62,1.4,0.55,4.5,0.34,"제주특별자치도 제주시 한림읍 금악리 2898","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2022-11-22,2022-01-01,1
"2407","5011025025","2022","11","23","4",5.5,707,90,3.2,0.8,7.8,0.5,"제주특별자치도 제주시 한림읍 금악리 3055","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_금악리","한림읍","금악리",2022-11-23,2022-01-01,1
"2417","5011025026","2020","12","31","4",6.1,873,86,3.3,0.81,12.2,0.4,"제주특별자치도 제주시 한림읍 동명리 320-2","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_동명리","한림읍","동명리",2020-12-31,2020-01-01,1
"2443","5011025026","2020","07","31","4",6.4,607,87,2.7,2.16,4.8,0.3,"제주특별자치도 제주시 한림읍 동명리 319-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_동명리","한림읍","동명리",2020-07-31,2020-01-01,1
"2444","5011025026","2020","09","04","4",5.6,752,139,3.9,2.12,5.7,0.8,"제주특별자치도 제주시 한림읍 동명리 160-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_동명리","한림읍","동명리",2020-09-04,2020-01-01,1
"2445","5011025026","2020","09","29","4",6.6,630,96,4.6,4.47,24.2,1.4,"제주특별자치도 제주시 한림읍 동명리 1262-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_동명리","한림읍","동명리",2020-09-29,2020-01-01,1
"2458","5011025026","2021","08","06","4",6.2,743,71,5,4.77,6.2,0.5,"제주특별자치도 제주시 한림읍 동명리 319-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_동명리","한림읍","동명리",2021-08-06,2021-01-01,1
"2466","5011025026","2021","06","21","4",6,419,133,2,1.6,12.1,0.4,"제주특별자치도 제주시 한림읍 동명리 211-3","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_동명리","한림읍","동명리",2021-06-21,2021-01-01,1
"2467","5011025026","2021","06","21","4",5.7,461,154,2,0.98,12.7,0.5,"제주특별자치도 제주시 한림읍 동명리 210-2","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_동명리","한림읍","동명리",2021-06-21,2021-01-01,1
"2480","5011025026","2022","08","09","4",5.7,740,89,3.8,1.67,13.3,0.51,"제주특별자치도 제주시 한림읍 동명리 319-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_동명리","한림읍","동명리",2022-08-09,2022-01-01,1
"2486","5011025026","2022","06","16","4",4.9,810,90,1.5,0.86,4.7,2.35,"제주특별자치도 제주시 한림읍 동명리 211-3","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_동명리","한림읍","동명리",2022-06-16,2022-01-01,1
"2487","5011025026","2022","06","16","4",4.9,716,127,1.7,1.1,6.4,3.3,"제주특별자치도 제주시 한림읍 동명리 210-2","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_동명리","한림읍","동명리",2022-06-16,2022-01-01,1
"2507","5011025026","2022","02","03","4",6.4,439,75,3.4,1.05,12.2,1.23,"제주특별자치도 제주시 한림읍 동명리 321-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_동명리","한림읍","동명리",2022-02-03,2022-01-01,1
"2514","5011025027","2020","10","21","4",5.3,244,86,1.3,0.89,6.9,0.7,"제주특별자치도 제주시 한림읍 명월리 1446-3","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-10-21,2020-01-01,1
"2515","5011025027","2020","10","21","4",5,539,92,0.7,0.83,3.1,0.3,"제주특별자치도 제주시 한림읍 명월리 1622","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-10-21,2020-01-01,1
"2516","5011025027","2020","12","31","4",5.2,621,73,2,0.86,3.4,0.3,"제주특별자치도 제주시 한림읍 명월리 732","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-12-31,2020-01-01,1
"2517","5011025027","2020","04","06","4",5.9,245,98,2.1,0.95,5.8,0.2,"제주특별자치도 제주시 한림읍 명월리 86","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-04-06,2020-01-01,1
"2518","5011025027","2020","04","06","4",5.9,245,98,2.1,0.95,5.8,0.2,"제주특별자치도 제주시 한림읍 명월리 86","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-04-06,2020-01-01,1
"2522","5011025027","2020","07","24","4",7.8,409,30,7,1.36,12.7,0.3,"제주특별자치도 제주시 한림읍 명월리 2014","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-07-24,2020-01-01,1
"2523","5011025027","2020","07","24","4",7.8,521,27,5,1.38,12.4,0.5,"제주특별자치도 제주시 한림읍 명월리 2015","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-07-24,2020-01-01,1
"2524","5011025027","2020","07","24","4",7.7,495,27,4.3,1.28,12.6,0.3,"제주특별자치도 제주시 한림읍 명월리 2016","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-07-24,2020-01-01,1
"2534","5011025027","2020","02","18","4",5.6,76,149,2.1,2.18,1.5,0.3,"제주특별자치도 제주시 한림읍 명월리 1560-1","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-02-18,2020-01-01,1
"2535","5011025027","2020","03","17","4",5.7,692,94,3.5,1.3,10.2,2,"제주특별자치도 제주시 한림읍 명월리 616","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-03-17,2020-01-01,1
"2536","5011025027","2020","03","18","4",6.2,346,109,2.2,1.24,7,0.2,"제주특별자치도 제주시 한림읍 명월리 1520","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-03-18,2020-01-01,1
"2537","5011025027","2020","03","18","4",5.9,254,147,3.1,1.07,8.4,0.6,"제주특별자치도 제주시 한림읍 명월리 1525","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-03-18,2020-01-01,1
"2538","5011025027","2020","03","18","4",5.9,245,98,2.1,0.95,5.8,0.2,"제주특별자치도 제주시 한림읍 명월리 60","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-03-18,2020-01-01,1
"2539","5011025027","2020","04","23","4",6,558,49,1.5,0.44,5.5,0.2,"제주특별자치도 제주시 한림읍 명월리 661","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-04-23,2020-01-01,1
"2540","5011025027","2020","07","08","4",5,173,183,0.8,0.45,1.6,0.7,"제주특별자치도 제주시 한림읍 명월리 1349","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-07-08,2020-01-01,1
"2541","5011025027","2020","07","08","4",5.4,260,184,0.8,0.79,1.9,0.3,"제주특별자치도 제주시 한림읍 명월리 1350","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-07-08,2020-01-01,1
"2542","5011025027","2020","07","08","4",5.3,105,157,0.6,0.23,1.4,0.2,"제주특별자치도 제주시 한림읍 명월리 1351","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-07-08,2020-01-01,1
"2543","5011025027","2020","07","08","4",5.9,106,154,1.4,0.74,3.5,0.2,"제주특별자치도 제주시 한림읍 명월리 1487","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-07-08,2020-01-01,1
"2544","5011025027","2020","07","08","4",4.9,617,104,0.4,0.28,1.6,0.1,"제주특별자치도 제주시 한림읍 명월리 599","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-07-08,2020-01-01,1
"2545","5011025027","2020","07","28","4",7.5,492,69,1.4,1.18,7.9,0.3,"제주특별자치도 제주시 한림읍 명월리 655","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-07-28,2020-01-01,1
"2546","5011025027","2020","09","04","4",5.2,700,73,1.9,1.41,3.5,0.5,"제주특별자치도 제주시 한림읍 명월리 732","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-09-04,2020-01-01,1
"2547","5011025027","2020","09","04","4",5.1,927,71,2.1,1.87,3.2,0.9,"제주특별자치도 제주시 한림읍 명월리 697","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-09-04,2020-01-01,1
"2548","5011025027","2020","09","04","4",6.1,900,82,3.2,1.46,6,0.3,"제주특별자치도 제주시 한림읍 명월리 659-2","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2020-09-04,2020-01-01,1
"2561","5011025027","2021","07","01","4",5.7,15,116,1.9,0.61,4.6,0.1,"제주특별자치도 제주시 한림읍 명월리 599","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2021-07-01,2021-01-01,1
"2562","5011025027","2021","07","13","4",5.8,1122,69,2.1,1.96,8.4,1.1,"제주특별자치도 제주시 한림읍 명월리 659-2","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2021-07-13,2021-01-01,1
"2563","5011025027","2021","08","04","4",6.1,776,56,3.3,3.41,10.4,0.6,"제주특별자치도 제주시 한림읍 명월리 737","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2021-08-04,2021-01-01,1
"2564","5011025027","2021","08","04","4",6,1034,53,3.4,2.99,8.5,0.8,"제주특별자치도 제주시 한림읍 명월리 697","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2021-08-04,2021-01-01,1
"2576","5011025027","2021","02","04","4",6.1,61,166,2.4,0.82,7.5,0.6,"제주특별자치도 제주시 한림읍 명월리 1446-3","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2021-02-04,2021-01-01,1
"2577","5011025027","2021","02","18","4",5.7,519,109,3.1,0.84,7.6,0.3,"제주특별자치도 제주시 한림읍 명월리 86","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2021-02-18,2021-01-01,1
"2578","5011025027","2021","02","18","4",5.9,485,97,3.7,1.73,8.9,0.5,"제주특별자치도 제주시 한림읍 명월리 1520","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2021-02-18,2021-01-01,1
"2579","5011025027","2021","02","18","4",5.8,335,146,3.9,1.25,11.3,0.7,"제주특별자치도 제주시 한림읍 명월리 1525","제주특별자치도","제주시_한림읍","제주_한림","제주특별자치도_제주시_한림읍_명월리","한림읍","명월리",2021-02-18,2021-01-01,1
