,code,year,month,day,type,acid,phosphate,OM,Mg,K,Ca,EC,ymd,cnt,longitude,latitude
46,5011025021,2020,8,20,2,5.6,684,37,1.3,0.72,5,0.4,8/20/2020,1,126.2861637,33.43439971
47,5011025021,2020,8,20,2,5.8,604,27,0.9,0.51,3.9,0.4,8/20/2020,1,126.2860402,33.43473051
48,5011025021,2020,8,20,2,5.8,604,27,0.9,0.51,3.9,0.4,8/20/2020,1,126.2860402,33.43473051
49,5011025021,2020,8,24,2,5.7,810,60,4.7,0.9,9.7,0.9,8/24/2020,1,126.2984536,33.41930819
50,5011025021,2020,8,24,2,5.7,810,60,4.7,0.9,9.7,0.9,8/24/2020,1,126.2984536,33.41930819
51,5011025021,2020,10,13,2,4.7,605,43,0.3,0.87,1,1.2,10/13/2020,1,126.2999116,33.43053075
52,5011025021,2020,10,13,2,5.6,703,21,0.7,1.28,3,0.8,10/13/2020,1,126.2976347,33.42425544
53,5011025021,2020,10,13,2,5.3,897,37,0.5,1.07,1.7,0.6,10/13/2020,1,126.297903,33.44160819
54,5011025021,2020,10,13,2,6.2,770,31,1.2,1.16,4.6,0.7,10/13/2020,1,126.2975254,33.43915806
55,5011025021,2020,10,13,2,5.7,733,33,0.8,1.19,3.1,0.7,10/13/2020,1,126.2937756,33.43765771
56,5011025021,2020,8,24,4,7.1,771,39,6.2,1.51,8.3,0.8,8/24/2020,1,126.2989985,33.44331793
57,5011025021,2020,8,24,4,7.1,771,39,6.2,1.51,8.3,0.8,8/24/2020,1,126.2989985,33.44331793
58,5011025021,2020,1,23,2,6.1,282,30,7,1.1,7,0.54,1/23/2020,1,126.297787,33.42894231
59,5011025021,2020,1,23,2,6.1,312,28,2.2,0.8,6.9,0.16,1/23/2020,1,126.2962585,33.425133
60,5011025021,2020,2,25,2,6.3,310,25,1.1,1.28,6.7,0.1,2/25/2020,1,126.2908678,33.41618676
61,5011025021,2020,2,25,2,6.5,273,36,1.1,1.3,6.3,0.1,2/25/2020,1,126.2907339,33.41588018
62,5011025021,2020,5,22,2,5.5,689,20,1.6,0.84,4.4,0.4,5/22/2020,1,126.2872513,33.43796507
63,5011025021,2020,5,22,2,5.6,714,21,1.6,0.86,4.8,0.5,5/22/2020,1,126.2868293,33.43824159
64,5011025021,2020,5,22,2,5.4,619,17,1.8,0.73,3.7,0.2,5/22/2020,1,126.2850478,33.44043273
65,5011025021,2020,6,26,2,5.3,488,25,1.3,1.78,1.5,0.9,6/26/2020,1,126.2841975,33.44170943
66,5011025021,2020,6,26,2,5,310,20,1.8,1.36,2.6,1.3,6/26/2020,1,126.2844126,33.43930723
67,5011025021,2020,6,26,2,5.2,1058,19,1.4,2.34,2.1,1.7,6/26/2020,1,126.2846649,33.4401889
68,5011025021,2020,7,16,2,6.5,1046,43,3.4,1.62,6,1.7,7/16/2020,1,126.2932176,33.42526222
69,5011025021,2020,7,16,2,6.4,296,39,2.6,1.03,4.4,0.3,7/16/2020,1,126.2877702,33.42091741
70,5011025021,2020,7,16,2,5.4,1098,34,1.6,2.12,2.3,0.8,7/16/2020,1,126.288884,33.4195331
71,5011025021,2020,7,16,2,6.1,769,31,2.5,1.5,8.5,0.5,7/16/2020,1,126.2884138,33.42134738
72,5011025021,2020,7,16,2,5.3,3369,8,2,1.12,4.6,1.1,7/16/2020,1,126.2867296,33.42709939
73,5011025021,2020,7,16,2,5.5,2658,11,2.3,1.08,5.5,1,7/16/2020,1,126.2907752,33.42656613
74,5011025021,2020,7,16,2,6.1,601,5,3.1,1.09,6.5,0.4,7/16/2020,1,126.2843577,33.43986166
75,5011025021,2020,7,16,2,6.6,1068,13,3.1,1.18,8.4,0.3,7/16/2020,1,126.2888804,33.42516179
76,5011025021,2020,7,22,2,6.2,1063,28,2,1.16,5.3,0.4,7/22/2020,1,126.2897464,33.4247494
77,5011025021,2020,7,17,2,7.3,280.1,28.3,2.25,1.34,10.82,0.6,7/17/2020,1,126.2972798,33.43494626
78,5011025021,2020,7,31,2,6.2,243,24,1.6,0.92,3.4,0.2,7/31/2020,1,126.2913297,33.43243746
79,5011025021,2020,8,7,2,6.6,749,22,0.7,0.82,2.9,0.2,8/7/2020,1,126.2774419,33.43728756
80,5011025021,2020,9,8,2,6.1,373,23,3.9,1.32,5.8,1.8,9/8/2020,1,126.280816,33.43268528
81,5011025021,2020,9,29,2,5.2,259,30,1.5,1.24,3.6,0.4,9/29/2020,1,126.2849305,33.43799516
82,5011025021,2020,9,29,2,5.7,439,23,2.9,1.48,6.4,1.1,9/29/2020,1,126.2839772,33.44124438
